x,y,z,pid,camid
-5.967124,-0.27678055,-6.3037367,556,4
8.603016,-5.549792,18.206554,540,6
12.425021,1.396321,4.8891788,558,7
5.470823,-11.365546,14.6930485,518,2
15.847293,-8.547612,11.877548,554,3
7.765967,1.4020554,-1.8930575,532,3
5.9893036,1.1041099,11.00677,600,8
15.159948,6.5339565,18.089718,580,3
4.3036,-3.8314588,-3.2846777,524,4
18.709747,-0.9206116,4.9052773,556,5
8.130027,-1.1028508,12.719021,600,4
8.063711,-3.0233257,8.329952,526,3
1.6960711,-6.9261107,6.68189,530,1
4.521495,6.5031657,14.176108,594,8
1.3386658,-12.260894,1.9750495,564,6
-5.1021476,5.0636387,10.510239,514,4
4.7729793,2.8672414,9.048558,580,4
-5.5673337,-10.003559,6.336971,542,7
10.843253,0.9688633,-1.5044882,530,6
17.788862,-6.8592796,3.8398821,594,1
4.8077044,-4.4620943,1.5321913,566,4
5.2652903,-10.606619,14.434964,518,5
3.8159604,13.606612,9.31071,556,3
7.9475718,-2.762812,-3.4748306,600,6
2.8758373,2.6365156,9.493586,582,2
5.3825793,0.97000515,11.625194,600,2
9.714923,-0.3563816,10.173111,518,1
1.1652498,-6.115291,1.2260787,526,1
1.7950794,-7.099158,6.677183,528,2
3.5108645,-1.2814667,2.8948812,582,6
0.91611,-7.5348167,14.559611,540,5
2.8826125,2.6315558,9.488966,582,2
13.797865,2.1381774,5.358932,558,4
-2.2826064,-5.3070354,-1.063145,524,3
4.1081066,10.458242,6.4886875,566,8
1.8540845,-1.2450932,12.181202,596,6
-1.7586955,-5.0623393,-1.1418774,554,8
6.298278,8.3969345,-4.685882,532,8
7.7833047,4.5988584,10.006236,540,4
15.160785,6.5329285,18.090405,580,3
1.6156138,-0.12202073,5.698984,514,3
17.594336,-2.1815517,5.3361053,594,2
-4.9550776,5.804841,4.6368265,582,4
-5.477374,3.922525,-0.0244509,572,7
11.711825,-2.8128798,-6.5797596,554,2
4.759593,2.6546478,9.244751,570,4
8.603024,-5.549767,18.206549,540,6
6.628788,16.0377,4.824993,594,3
1.4199034,4.92342,5.425155,514,2
5.8429117,8.176826,-4.2479887,566,3
12.893531,0.17501715,-7.0285754,596,4
4.652198,-3.6990461,4.1548343,502,4
4.3148184,-1.495141,2.2504852,516,5
9.202868,-7.243165,9.05431,540,2
7.754267,1.3913406,-1.9038287,532,3
10.236792,0.48562303,10.166784,510,7
4.1026506,-6.041223,8.357374,506,8
10.26456,7.178312,16.725925,560,8
1.5569693,-0.20846571,-0.6001201,508,6
17.140295,2.7415266,1.3245322,520,4
2.0818222,-1.2593523,-0.31141067,508,2
-2.6582215,-0.8019441,8.251104,506,1
11.9581785,-9.28019,1.477602,504,7
8.146712,-3.9597044,9.119975,512,5
8.039179,-1.6383419,6.7100706,588,6
16.472635,7.6307745,8.404253,578,5
-1.1740206,0.3837092,4.9703503,562,3
11.094735,7.11782,-4.5575914,578,1
9.959044,-10.241093,8.194265,504,3
12.773071,1.8828641,3.7118456,584,1
11.646457,-7.0563874,9.497461,522,8
6.9940243,8.430642,8.350687,544,5
-0.61735594,13.166326,-1.333985,560,7
7.691565,-12.505263,1.5021205,520,2
8.1197,-7.9313383,12.275639,584,5
